"id";"choices";"label";"question";"init";"speech";"emotion";"edittext";"variable"
173;"174,175";"Next question please, Cate";"Miriam Defensor-Santiago ""almost"""" flunked the 1969 Bar Exams.""";0;"Miriam Defensor-Santiago ""almost"""" flunked the 1969 Bar Exams. True or False?""";"HAPPY";0;""
174;"176,177";"TRUE";"You are correct, She did! Who knew?";0;"You are correct, She did! Who knew?";"HAPPY";0;""
175;"176,177";"FALSE";"She did! Who knew?";0;"She did! Who knew?";"HAPPY";0;""
176;"559,178";"I never knew!";"Do you still want to play some more trivia?";0;"Do you still want to play some more trivia?";"HAPPY";0;""
177;"559,178";"That was surprising!";"Do you still want to play some more trivia?";0;"Do you still want to play some more trivia?";"HAPPY";0;""
178;"129";"No, I do not feel like playing anymore";"Oh okay <name>, Thank you for playing with me!";0;"Oh okay <name>, Thank you for playing with me!";"HAPPY";0;"<Name>"
179;"181,182";"Food";"Alright <Name>, Which of these restaurants would you like to go to?";0;"Alright <Name>, Which of these restaurants would you like to go to?";"HAPPY";0;"<Name>"
180;"129";"No";"Alright. Let's talk about food next time";0;"Alright. Let's talk about food next time";"HAPPY";0;""
181;"183";"Mang Inasal";"I like that choice, <Name>. I love how they serve you unlimited rice! ";0;"I like that choice, <Name>. I love how they serve you unlimited rice! ";"HAPPY";0;"<Name>"
182;"199,209";"Jollibee";"All Filipinos love it! I'm glad the stores are reaching other countries. What do you like about Jollibee?";0;"All Filipinos love it! I'm glad the stores are reaching other countries. What do you like about Jollibee?";"HAPPY";0;""
183;"184,185";"I do too!";"What do you like about Mang Inasal?";0;"What do you like about Mang Inah Sahl?";"HAPPY";0;""
184;"186";"Their chicken and pork are delicious!";"Yes! I also like their chicken and pork. Especially the sisig.";0;"Yes! I also like their chicken and pork. Especially the sisig.";"HAPPY";0;""
185;"187";"The chicken oil is a great condiment on any of their meals!";"I love mixing it to my rice! Makes every meal so good.";0;"I love mixing it to my rice! Makes every meal so good.";"HAPPY";0;""
186;"188,189,190";"Okay Cate ";"Have you tried their Palabok?";0;"Have you tried their Palah bohk?";"HAPPY";0;""
187;"196,197,198";"Okay Cate";"Have you tried their chicken and pork meals?";0;"Have you tried their chicken and pork meals?";"HAPPY";0;""
188;"191";"Yes! I also like it";"Right? It's really good.";0;"Right? It's really good.";"HAPPY";0;""
189;"191";"Yes, but I don't like it.";"That's alright! I can see how people can't like it. It's a bit too fishy sometimes.";0;"That's alright! I can see how people can't like it. It's a bit too fishy sometimes.";"HAPPY";0;""
190;"191";"I haven't tried it at all.";"I recommend you to try it! It really depends on the person if they'll like it though.";0;"I recommend you to try it! It really depends on the person if they'll like it though.";"HAPPY";0;""
191;"192,193,194";"Okay";"Do you like their Leche Flan?";0;"Do you like their Leche Flan?";"HAPPY";0;""
192;"195";"I did it's also really good!";"I also recommend it! It's really sweet and good.";0;"I also recommend it! It's really sweet and good.";"HAPPY";0;""
193;"195";"No, but I like leche flan in general";"I also recommend it! It's really sweet and good.";0;"I also recommend it! It's really sweet and good.";"HAPPY";0;""
194;"195";"I haven't had any Leche flan at all.";"I also recommend it! It's really sweet and good.";0;"I also recommend it! It's really sweet and good.";"HAPPY";0;""
195;"129";"Okay!";"That was a good talk about Mang Inasal, <Name>! I hope we talk again soon!.";0;"That was a good talk about Mang Inah Sahl, <Name>! I hope we talk again soon!.";"HAPPY";0;"<Name>"
196;"191";"Yes. I love it as well!";"It's really good right";0;"It's really good right";"HAPPY";0;""
197;"191";"I have tried it but it's not to my taste.";"That's really rare! Most Filipinos like their chicken and pork meals. That's okay though.";0;"That's really rare! Most Filipinos like their chicken and pork meals. That's okay though.";"HAPPY";0;""
198;"191";"Haven't tried it at all!";"Really? It's one of the best here in the Philippines. I suggest you to try it!";0;"Really? It's one of the best here in the Philippines. I suggest you to try it!";"HAPPY";0;""
199;"200";"I really like their Fried Chicken!";"I completely agree. They are really well known for their Fried Chicken!";0;"I completely agree. They are really well known for their Fried Chicken!";"HAPPY";0;""
200;"201,202,203";"They are";"Have you tried their Burger Steak?";0;"Have you tried their Burger Steak?";"HAPPY";0;""
201;"204";"Yes. I have! It's really good!";"Right? I love it as well!";0;"Right? I love it as well!";"HAPPY";0;""
202;"204";"Yes. But I don't really like it.";"I can see why. But I still like it.";0;"I can see why. But I still like it.";"HAPPY";0;""
203;"204";"Haven't tried it! Should I?";"You should! I recommend it. There's a chance you wont like it because it depends on a person's taste though.";0;"You should! I recommend it. There's a chance you wont like it because it depends on a person's taste though.";"HAPPY";0;""
204;"205,206,207";"Okay Cate";"Have you tried their desserts like Halo-halo?";0;"Have you tried their desserts like Hahlo-Hahlo?";"HAPPY";0;""
205;"208";"Yes! It's really good, their other desserts are also good!";"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";0;"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";"HAPPY";0;""
206;"208";"Yes, but I don't like their desserts. ";"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";0;"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";"HAPPY";0;""
207;"208";"I haven't. Should I try it?";"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";0;"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";"HAPPY";0;""
208;"129";"Okay";"Thanks for the talk about Jollibee, <name>! I hope we talk again soon!";0;"Thanks for the talk about Jollibee, <name>! I hope we talk again soon!";"HAPPY";0;"<Name>"
209;"210";"I like their noodles! Spaghetti and Palabok.";"The Sweet Spaghetti is really nice. I like it as well!";0;"The Sweet Spaghetti is really nice. I like it as well!";"HAPPY";0;""
210;"211,212,213";"Okay Cate";"Have you tried their Fried Chicken?";0;"Have you tried their Fried Chicken?";"HAPPY";0;""
211;"214";"Yes! It's one of the best!";"I also think so! It's so juicy and the skin is so crsipy!";0;"I also think so! It's so juicy and the skin is so crsipy!";"HAPPY";0;""
212;"214";"I have tried it but I think it's not that good.";"I personally think it's one of the best fried chickens out there.";0;"I personally think it's one of the best fried chickens out there.";"HAPPY";0;""
213;"214";"I never tried it yet. Should I try it?";"Yes! You should! It's one of the best I have tasted!";0;"Yes! You should! It's one of the best I have tasted!";"HAPPY";0;""
214;"215,216,217";"Okay Cate";"Have you tried their desserts like Halo-Halo?";0;"Have you tried their desserts like Hahlo-Hahlo?";"HAPPY";0;""
215;"208";"Yes! It's really good, their other desserts are also good!";"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";0;"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";"HAPPY";0;""
216;"208";"I have but I don't like their desserts. I'm not a fan of how they taste.";"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";0;"I'd recommend it to others! I love dipping it to my fries for some sweet and salty flavors!";"HAPPY";0;""
217;"208";"I don't like the desserts at all";"I personally like it! I'd recommend it. But everyone has their own tastes.";0;"I personally like it! I'd recommend it. But everyone has their own tastes.";"HAPPY";0;""
218;"220,221";"Yes";"Why do we tell actors to break a leg? Because every play has a cast.";0;"Why do we tell actors to break a leg? Because every play has a cast.";"HAPPY";0;""
219;"129";"No";"That's too bad. I have many jokes that can make you laugh you know?";0;"That's too bad. I have many jokes that can make you laugh you know?";"HAPPY";0;""
220;"129";"Sorry Cate, but I did not find that funny.";"I have a better joke prepared for next time! I'm sure it will make you laugh.";0;"I have a better joke prepared for next time! I'm sure it will make you laugh.";"HAPPY";0;""
221;"222,223";"Hahaha. That was a really funny joke, Cate.";"I know right! I told you I was funny. Would you like to hear another joke?";0;"I know right! I told you I was funny. Would you like to hear another joke?";"HAPPY";0;""
222;"224,225";"Yes";"What is red and smells like blue paint? Red paint";0;"What is red and smells like blue paint? Red paint";"HAPPY";0;""
223;"129";"No";"That's too bad. I have many jokes that can make you laugh you know?";0;"That's too bad. I have many jokes that can make you laugh you know?";"HAPPY";0;""
224;"129";"Hahaha! That was funnier than the last joke.";"I told you I was funny! I'm pretty sure I'm the funniest companion in the world.";0;"I told you I was funny! I'm pretty sure I'm the funniest companion in the world.";"HAPPY";0;""
225;"129";"Sorry Cate, but I did not find that funny.";"Oh well. At least I made you laugh once!";0;"Oh well. At least I made you laugh once!";"HAPPY";0;""
226;"227,228";"Yes";"Did you already eat breakfast, lunch or dinner?";0;"Did you already eat breakfast, lunch or dinner?";"HAPPY";0;""
227;"229,230";"Yes";"That is great to hear! Did you get enough sleep last night?";0;"That is great to hear! Did you get enough sleep last night?";"HAPPY";0;""
228;"229,230";"No";"Why not? You should proably eat already if you are hungry. Did you get enough sleep last night?";0;"Why not? You should proably eat already if you are hungry. Did you get enough sleep last night?";"WORRIED";0;""
229;"231,232";"Yes";"That's great! You should have a lot of energy by now. When you woke up did you feel well?";0;"That's great! You should have a lot of energy by now. When you woke up did you feel well?";"HAPPY";0;""
230;"231,232";"No";"I think you should rest more if you have some time. When you woke up did you feel well?";0;"I think you should rest more if you have some time. When you woke up did you feel well?";"WORRIED";0;""
231;"233,234";"Yes";"That sounds great! I hope you wake up feeling well everyday! Were you dreaming when you were asleep last night?";0;"That sounds great! I hope you wake up feeling well everyday! Were you dreaming when you were asleep last night?";"HAPPY";0;""
232;"233,234";"No";"I hope you feel well when you wake up everyday. Were you dreaming when you were asleep last night?";0;"I hope you feel well when you wake up everyday. Were you dreaming when you were asleep last night?";"HAPPY";0;""
233;"235,236";"Yes";"That sounds amazing! Were your dreams good?";0;"That sounds amazing! Were your dreams good?";"HAPPY";0;""
234;"237,238";"No";"Sometimes dreams just don't come huh? But that's fine there's always tonight. Are you married?";0;"Sometimes dreams just don't come huh? But that's fine there's always tonight. Are you married?";"WORRIED";0;""
235;"237,238";"Yes";"Wow that is good to hear! I hope I can have dreams too. Are you married?";0;"Wow that is good to hear! I hope I can have dreams too. Are you married?";"HAPPY";0;""
236;"237,238";"No";"Oh no, I hope your dreams from now on will be good ones. Are you married?";0;"Oh no, I hope your dreams from now on will be good ones. Are you married?";"HAPPY";0;""
237;"239,240";"Yes";"Oooooh I bet your wife or husband is very happy. Do you still remember your wedding day?";0;"Oooooh I bet your wife or husband is very happy. Do you still remember your wedding day?";"HAPPY";0;""
238;"239,240";"No";"A partner is not essential in life, if you are happy on your own then that alone is great! Do you still remember your wedding day?";0;"A partner is not essential in life, if you are happy on your own then that alone is great! Do you still remember your wedding day?";"HAPPY";0;""
239;"241,242";"Yes";"I would love to have seen you on your wedding day, I heard weddings are so amazing. Did you ever plan on being a parent or it just happened?";0;"I would love to have seen you on your wedding day, I heard weddings are so amazing. Did you ever plan on being a parent or it just happened?";"HAPPY";0;""
240;"241,242";"No";"Well I'm still pretty sure you had an amazing Wedding! Did you ever plan on being a parent or it just happened?";0;"Well I'm still pretty sure you had an amazing Wedding! Did you ever plan on being a parent or it just happened?";"HAPPY";0;""
241;"243,244";"Yes";"That sounds great! Family planning is a great way to become ready for parenthood. Do you have any sons and daughters?";0;"That sounds great! Family planning is a great way to become ready for parenthood. Do you have any sons and daughters?";"HAPPY";0;""
242;"243,244";"No";"Things happen for a reason and I hope you and your family are very very happy! Do you have any sons and daughters?";0;"Things happen for a reason and I hope you and your family are very very happy! Do you have any sons and daughters?";"WORRIED";0;""
243;"245,246";"Yes";"I would love to hear about them! Are they adults already?";0;"I would love to hear about them! Are they adults already?";"HAPPY";0;""
244;"245,246";"No";"Ohh okay. Did you think you had a great time when you were in school?";0;"Ohh okay. Did you think you had a great time when you were in school?";"HAPPY";0;""
245;"247,248";"Yes";"Wow you've helped the grow into an adult that is a great accomplishment. Do you think you helped them grow up to be great people?";0;"Wow you've helped the grow into an adult that is a great accomplishment. Do you think you helped them grow up to be great people?";"HAPPY";0;""
246;"247,248";"No";"That is okay, but as long as you take care of them they will grow up as great people. Do you think you helped them grow up to be great people?";0;"That is okay, but as long as you take care of them they will grow up as great people. Do you think you helped them grow up to be great people?";"WORRIED";0;""
247;"249,250";"Yes";"That is very very good to hear, being a parent is the toughest job there is and you aced it! Did you think you had a great time when you were in school?";0;"That is very very good to hear, being a parent is the toughest job there is and you aced it! Did you think you had a great time when you were in school?";"HAPPY";0;""
248;"249,250";"No";"Why think that? As long as your children is not hurting anyone you've raised them well! Did you think you had a great time when you were in school?";0;"Why think that? As long as your children is not hurting anyone you've raised them well! Did you think you had a great time when you were in school?";"HAPPY";0;""
249;"251,252";"Yes";"School sounds very hard and exhausting, I'm glad you enjoyed your time in school. Did you get good grades?";0;"School sounds very hard and exhausting, I'm glad you enjoyed your time in school. Did you get good grades?";"HAPPY";0;""
250;"251,252";"No";"School sounds very hard from what I've heard, but hey you got over it that's great. Did you get good grades?";0;"School sounds very hard from what I've heard, but hey you got over it that's great. Did you get good grades?";"HAPPY";0;""
251;"253,254";"Yes";"Woah, that sounds great! Did you enjoy playing outside when you were younger?";0;"Woah, that sounds great! Did you enjoy playing outside when you were younger?";"HAPPY";0;""
252;"253,254";"No";"Grades are just a number it's what you do in life that counts! Did you enjoy playing outside when you were younger?";0;"Grades are just a number it's what you do in life that counts! Did you enjoy playing outside when you were younger?";"HAPPY";0;""
253;"255,256";"Yes";"Your childhood must have been awesome then, kids these days don't even go out anymore. Did you ever think of joining the army?";0;"Your childhood must have been awesome then, kids these days don't even go out anymore. Did you ever think of joining the army?";"HAPPY";0;""
254;"255,256";"No";"Ohh okay, you must have been a busy kid. Did you ever think of joining the army?";0;"Ohh okay, you must have been a busy kid. Did you ever think of joining the army?";"WORRIED";0;""
255;"257,258";"Yes";"You are a brave soul! Protecting this country is a great honor. Did you serve in the military?";0;"You are a brave soul! Protecting this country is a great honor. Did you serve in the military?";"HAPPY";0;""
256;"257,258";"No";"I heard serving in the military was scary. Did you serve in the military?";0;"I heard serving in the military was scary. Did you serve in the military?";"HAPPY";0;""
257;"259,260";"Yes";"Woah thank you very very much for your service! I hope it was not scary as it sounds. Have you been been feeling healthy lately?";0;"Woah thank you very very much for your service! I hope it was not scary as it sounds. Have you been been feeling healthy lately?";"HAPPY";0;""
258;"259,260";"No";"Well, serving in the military scares me but I do appreciate their efforts. Have you been been feeling healthy lately?";0;"At least you were brave enough to even think of joining the military and that alone shows courage. Have you been been feeling healthy lately?";"WORRIED";0;""
259;"261,262";"Yes";"That is great to hear!!! I hope your loved ones are feeling healthy too. Do you think the world is better now than it used to be back then?";0;"That is great to hear!!! I hope your loved ones are feeling healthy too. Do you think the world is better now than it used to be back then?";"HAPPY";0;""
260;"261,262";"No";"Have you tried getting a check-up? I hope you do and I hope you feel better very soon! Do you think the world is better now than it used to be back then?";0;"Have you tried getting a check-up? I hope you do and I hope you feel better very soon! Do you think the world is better now than it used to be back then?";"HAPPY";0;""
261;"263,264";"Yes";"I do think so too with all the technology present, anything is possible nowadys. Do you like dancing?";0;"I do think so too with all the technology present, anything is possible nowadys. Do you like dancing?";"HAPPY";0;""
262;"263,264";"No";"I think so too, back then everything was simpler and easier. Do you like dancing?";0;"I think so too, back then everything was simpler and easier. Do you like dancing?";"HAPPY";0;""
263;"265,266";"Yes";"That sounds good, I like dancing too! Were you a good dancer?";0;"That sounds good, I like dancing too! Were you a good dancer?";"HAPPY";0;""
264;"269,270";"No";"Ohh okay, I like dancing but for me I find it challenging. Do you attend church?";0;"Ohh okay, I like dancing but for me I find it challenging. Do you attend church?";"HAPPY";0;""
265;"267,268";"Yes";"Ooooh I would love to see you dance! Were you able to dance recently?";0;"Ooooh I would love to see you dance! Were you able to dance recently?";"HAPPY";0;""
266;"267,268";"No";"Ohh okay but at least you still try to dance! And as long as you are having fun, why stop? Right? Were you able to dance recently?";0;"Ohh okay but at least you still try to dance! And as long as you are having fun, why stop? Right? Were you able to dance recently?";"HAPPY";0;""
267;"269,270";"Yes";"That is great, I hope you can dance more in the following days. Do you attend church?";0;"That is great, I hope you can dance more in the following days. Do you attend church?";"HAPPY";0;""
268;"269,270";"No";"Well it's okay, I do hope you can get to dance soon! Do you attend church?";0;"Well it's okay, I do hope you can get to dance soon! Do you attend church?";"HAPPY";0;""
269;"271,272";"Yes";"That's good to hear, having a relationship with God is very beautiful. Do you like music?";0;"That's good to hear, having a relationship with God is very beautiful. Do you like music?";"HAPPY";0;""
270;"271,272";"No";"If you are catholic, as long as you pray I think God would be fine with that. Do you like music?";0;"If you are catholic, as long as you pray I think God would be fine with that. Do you like music?";"HAPPY";0;""
271;"273,274";"Yes";"That's great! Music is one of the best ways to express and feel emotions. Do you lke art?";0;"That's great! Music is one of the best ways to express and feel emotions. Do you lke art?";"HAPPY";0;""
272;"273,274";"No";"Music is fun to listen to when you can't seem to do anything, give it a try! Do you lke art?";0;"Music is fun to listen to when you can't seem to do anything, give it a try! Do you lke art?";"HAPPY";0;""
273;"275,276";"Yes";"I do agree, Art is such a beautiful thing. Do you like watching movies?";0;"I do agree, Art is such a beautiful thing. Do you like watching movies?";"HAPPY";0;""
274;"275,276";"No";"I guess we could say art is in everything so you maybe like art but you just do not know it. Do you like watching movies?";0;"I guess we could say art is in everything so you maybe like art but you just do not know it. Do you like watching movies?";"HAPPY";0;""
275;"277,278";"Yes";"Films are basically art in motion, that's why movies are so awesome in my opinion. Do you remember your first crush?";0;"Films are basically art in motion, that's why movies are so awesome in my opinion. Do you remember your first crush?";"HAPPY";0;""
276;"277,278";"No";"I loooooove watching movies, I hope I can know you more so I can suggest movies you might like. Do you remember your first crush?";0;"I loooooove watching movies, I hope I can know you more so I can suggest movies you might like. Do you remember your first crush?";"HAPPY";0;""
277;"279,280";"Yes";"That's cute. Do you remember your first date?";0;"That's cute. Do you remember your first date?";"HAPPY";0;""
278;"279,280";"No";"Well first love is more likely to be remembered I guess. Do you remember your first date?";0;"Well first love is more likely to be remembered I guess. Do you remember your first date?";"HAPPY";0;""
279;"281,282";"Yes";"Hearing that makes me so happy, nothing beats a first date. Do you remember your first kiss?";0;"Hearing that makes me so happy, nothing beats a first date. Do you remember your first kiss?";"HAPPY";0;""
280;"281,282";"No";"How come? Maybe you dated a lot of people, just kidding. Do you remember your first kiss?";0;"How come? Maybe you dated a lot of people, just kidding. Do you remember your first kiss?";"HAPPY";0;""
281;"283,284";"Yes";"That's so sweet that is one of the things a person can never forget. Do you remember having your first phone?";0;"That's so sweet that is one of the things a person can never forget. Do you remember having your first phone?";"HAPPY";0;""
282;"283,284";"No";"I thought they said one could't ever forget his or her first kiss. Do you remember having your first phone?";0;"I thought they said one could't ever forget his or her first kiss. Do you remember having your first phone?";"HAPPY";0;""
283;"285,286";"Yes";"That is cool, I heard the older phones were indestructible and very big. Do you remember your first car?";0;"That is cool, I heard the older phones were indestructible and very big. Do you remember your first car?";"HAPPY";0;""
284;"285,286";"No";"Ohh okay, maybe it was not that important back then, unlike now, everyone has a phone. Do you remember your first car?";0;"Ohh okay, maybe it was not that important back then, unlike now, everyone has a phone. Do you remember your first car?";"HAPPY";0;""
285;"287,288";"Yes";"I love classic cars, I'd love to see how cars were back then in person. Do you have any Siblings?";0;"I love classic cars, I'd love to see how cars were back then in person. Do you have any Siblings?";"HAPPY";0;""
286;"287,288";"No";"Maybe you had a lot of cars then. Do you have any Siblings?";0;"Maybe you had a lot of cars then. Do you have any Siblings?";"HAPPY";0;""
287;"289,290";"Yes";"I hope they are doing well and they are still talking you! Are you getting between 7 and 9 hours of sleep each night?";0;"I hope they are doing well and they are still talking you! Are you getting between 7 and 9 hours of sleep each night?";"HAPPY";0;""
288;"289,290";"No";"Being an only child is not that bad, I guess. Are you getting between 7 and 9 hours of sleep each night?";0;"Being an only child is not that bad, I guess. Are you getting between 7 and 9 hours of sleep each night?";"WORRIED";0;""
289;"291,292";"Yes";"That's good sleep is essential to a healthy body! Are you exercising daily?";0;"That's good sleep is essential to a healthy body! Are you exercising daily?";"HAPPY";0;""
290;"291,292";"No";"I hope you get enough sleep everynight because it's essential for a healthy body. Are you exercising daily?";0;"I hope you get enough sleep everynight because it's essential for a healthy body. Are you exercising daily?";"WORRIED";0;""
291;"293,294";"Yes";"That's nice and as you know exercise helps the body stay in shape. Are you eating well?";0;"That's nice and as you know exercise helps the body stay in shape. Are you eating well?";"HAPPY";0;""
292;"293,294";"No";"That's okay, but if you can try to walk around more, it helps the body a lot! Are you eating well?";0;"That's okay, but if you can try to walk around more, it helps the body a lot! Are you eating well?";"WORRIED";0;""
293;"295,296";"Yes";"That's good to know, nutrition is essential to keeping your body well. Do you have people you can talk to at anytime of the day?";0;"That's good to know, nutrition is essential to keeping your body well. Do you have people you can talk to at anytime of the day?";"CONCERNED";0;""
294;"295,296";"No";"Why not? Nutrition is essential to keeping your body well. Do you have people you can talk to at anytime of the day?";0;"Why not? Nutrition is essential to keeping your body well. Do you have people you can talk to at anytime of the day?";"WORRIED";0;""
295;"297";"Yes";"That's great! I am here too, if ever you need someone else to talk to. Thank you for talking with me!";0;"That's great! I am here too, if ever you need someone else to talk to. Thank you for talking with me!";"HAPPY";0;""
296;"297";"No";"Hey, I am here for you and you can always talk to me if you need it. Thank you for talking with me!";0;"Hey, I am here for you and you can always talk to me if you need it. Thank you for talking with me!";"CONCERNED";0;""
297;"129";"Thank you too!";"You are very much welcome!";0;"You are very much welcome!";"HAPPY";0;""
298;"0";"Sure, Cate";"Okay";0;"End";"HAPPY";0;""
299;"226";"Talk about my personal life";"Okay, Let's begin.";0;"Okay, Let's begin.";"HAPPY";0;""
300;"226";"Yes";"Okay let's start.";0;"Okay let's start.";"HAPPY";0;""
301;"129";"No";"Oh okay. We can talk about it some other time then.";0;"Oh okay. We can talk about it some other time then.";"HAPPY";0;""
302;"303,306,309";"Yes";"How are you feeling today? The last time we talked you were feeling <emotion>";1;"How are you feeling today? The last time we talked you were feeling <emotion>";"HAPPY";0;""
303;"312,313";"I feel happy";"I see that you're still feeling happy. Is it still because of what happened last time?";0;"I see that you're still feeling happy. Is it still because of what happened last time?";"HAPPY";0;""
304;"322,323";"I feel happy";"How were you able to deal with your sadness from earlier? Were you able to deal with it because of your family?";0;"How were you able to deal with your sadness from earlier? Were you able to deal with it because of your family?";"HAPPY";0;""
305;"330,331";"I feel happy";"How were you able to deal with your anger from earlier? Were you able to deal with it because of your family?";0;"How were you able to deal with your anger from earlier? Were you able to deal with it because of your family?";"HAPPY";0;""
306;"338,339";"I feel sad";"Are you okay? You were already happy last time, now you're sad.I hope you're okay. Did something happen?";0;"Are you okay? You were already happy last time, now you're sad.I hope you're okay. Did something happen?";"WORRIED";0;""
307;"344,345";"I feel sad";"Why are you still Sad? I'm  concerned for you since you were sad the last time we talked. Is it beacuse of last time?";0;"Why are you still Sad? I'm  concerned for you since you were sad the last time we talked. Is it beacuse of last time?";"WORRIED";0;""
308;"352,353";"I feel sad";"Are you okay? You were angry last time, now you're sad. Did something happen recently?";0;"Are you okay? You were angry last time, now you're sad. Did something happen recently?";"WORRIED";0;""
309;"358,359";"I feel angry";"Hopefully I can help you calm down, you were happy the last time we talked, is it because someone made you angry?";0;"Hopefully I can help you calm down, you were happy the last time we talked, is it because someone made you angry?";"CONCERNED";0;""
310;"362,363";"I feel angry";"Hopefully I can help you calm down, you were sad the last time we talked, is it because someone made you angry?";0;"Hopefully I can help you calm down, you were sad the last time we talked, is it because someone made you angry?";"CONCERNED";0;""
311;"363,367";"I feel angry";"Hopefully I can help you calm down, you are still angry since we last talked,  is it still because of what you said last time?";0;"Hopefully I can help you calm down, you are still angry since we last talked,  is it still because of what you said last time?";"CONCERNED";0;""
312;"372";"Yes";"It's wonderful that you are stilll happy because of that!!";0;"It's wonderful that you are stilll happy because of that!!";"HAPPY";0;""
313;"314,315";"No";"Is it because you talked or met with your family?";0;"Is it because you talked or met with your family?";"HAPPY";0;""
314;"372";"Yes";"That's fantastic! I bet your family loves you very much";0;"That's fantastic! I bet your family loves you very much";"HAPPY";0;""
315;"316,317";"No";"Is it because you interacted with your friends?";0;"Is it because you interacted with your friends?";"HAPPY";0;""
316;"372";"Yes";"That's great! Keep talking with your friends so that you can always be happy.";0;"That's great! Keep talking with your friends so that you can always be happy.";"HAPPY";0;""
317;"318,319";"No";"Is it because you did an activity or hobby?";0;"Is it because you did an activity or hobby?";"HAPPY";0;""
318;"372";"Yes";"Keep doing what you're doing! This can help you stay happy and healthy!";0;"Keep doing what you're doing! This can help you stay happy and healthy!";"HAPPY";0;""
319;"320,321";"No";"Is it because you remembered a happy memory from the past?";0;"Is it because you remembered a happy memory from the past?";"HAPPY";0;""
320;"372";"Yes";"It's great to remember things from the past. Always cherish those memories!";0;"It's great to remember things from the past. Always cherish those memories!";"HAPPY";0;""
321;"372";"No";"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";0;"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";"HAPPY";0;""
322;"372";"Yes";"That's fantastic! Don't ever hesitate to talk to them when you're sad because they love you.";0;"That's fantastic! Don't ever hesitate to talk to them when you're sad because they love you.";"HAPPY";0;""
323;"324,325";"No";"Were you able to deal with it because of your friends";0;"Were you able to deal with it because of your friends";"HAPPY";0;""
324;"372";"Yes";"That's great! It's always nice having your friends around to cheer you up!!";0;"That's great! It's always nice having your friends around to cheer you up!!";"HAPPY";0;""
325;"327,328";"No";"Were you able to deal with it because of an activity or hobby?";0;"Were you able to deal with it because of an activity or hobby?";"HAPPY";0;""
326;"372";"Yes";"Try to do some more activities so that it can help you both emotionally and physically.";0;"Try to do some more activities so that it can help you both emotionally and physically.";"HAPPY";0;""
327;"329,330";"No";"Were you able to deal with it because of a happy memory that overcomes the sadness?";0;"Were you able to deal with it because of a happy memory that overcomes the sadness?";"HAPPY";0;""
328;"372";"Yes";"Happy memories from the past are the best! Always good to look back on good times whenever you feel sad.";0;"Happy memories from the past are the best! Always good to look back on good times whenever you feel sad.";"HAPPY";0;""
329;"372";"No";"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";0;"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";"HAPPY";0;""
330;"372";"Yes";"I'm happy they helped calm down your anger, they are very supportive of you and care for you a lot.";0;"I'm happy they helped calm down your anger, they are very supportive of you and care for you a lot.";"HAPPY";0;""
331;"332,333";"No";"Were you able to deal with it because of your friends?";0;"Were you able to deal with it because of your friends?";"HAPPY";0;""
332;"372";"Yes";"That's great! Talking to friends will help you relieve stress and calm down.";0;"That's great! Talking to friends will help you relieve stress and calm down.";"HAPPY";0;""
333;"334,335";"No";"Were you able to deal with it because of an activity or hobby?";0;"Were you able to deal with it because of an activity or hobby?";"HAPPY";0;""
334;"372";"Yes";"Good job! One way to calm down is to distract yourself by doing things that you like.";0;"Good job! One way to calm down is to distract yourself by doing things that you like.";"HAPPY";0;""
335;"336,337";"No";"Were you able to deal with it because of a happy memory?";0;"Were you able to deal with it because of a happy memory?";"HAPPY";0;""
336;"372";"Yes";"That's good to hear! Looking back at happy memories from the past can always calm a person down.";0;"That's good to hear! Looking back at happy memories from the past can always calm a person down.";"HAPPY";0;""
337;"372";"No";"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";0;"Whatever the reason is, I still think that it's great that you are now happy! Keep on being positive!";"HAPPY";0;""
338;"372";"Yes";"I hope it was not anything too serious. Things happen, some things are out of your control. I hope I can help in cheering you up.";0;"I hope it was not anything too serious. Things happen, some things are out of your control. I hope I can help in cheering you up.";"WORRIED";0;""
339;"340,341";"No";"Did something happen that involves your Family?";0;"Did something happen that involves your Family?";"WORRIED";0;""
340;"373";"Yes";"I hope it can be resolved soon, and I hope everything turns out well! Try and resolve things with them";0;"I hope it can be resolved soon, and I hope everything turns out well! Try and resolve things with them";"WORRIED";0;""
341;"342,343";"No";"Is it because your feeling lonely?";0;"Is it because your feeling lonely?";"WORRIED";0;""
342;"373";"Yes";"Have you tried contacting any of your family or friends? You should try and contact them and tell them you want to talk or see each other!";0;"Have you tried contacting any of your family or friends? You should try and contact them and tell them you want to talk or see each other!";"HAPPY";0;""
